date,id,program
11/16/2024,S018,Public Safety Criminal Justice
11/16/2024,S394,Diesel Service Technology
11/16/2024,S338,Health Science- Exercise Science
11/16/2024,S166,Media Communications and Broadcasting
11/16/2024,S042,Precision Machine Metalworking Technology
11/16/2024,S318,Media Communications and Broadcasting
11/16/2024,S096,Media Communications and Broadcasting
11/16/2024,S252,Welding Technology
11/16/2024,S042,Advanced Manufacturing Technology
11/16/2024,S318,Graphic Communications Digital Media
11/16/2024,S317,Public Safety Criminal Justice
11/16/2024,S288,Public Safety Criminal Justice
11/16/2024,S030,Advanced Manufacturing Technology
11/16/2024,S018,Advanced Manufacturing Technology
11/16/2024,S040,Public Safety Criminal Justice
11/6/2024,A2A,Automotive Collision Repair Technology
11/6/2024,A2A,Automotive Collision Repair Technology
11/6/2024,C0E,Automotive Collision Repair Technology
11/6/2024,A30,Automotive Collision Repair Technology
11/6/2024,C2A,Automotive Collision Repair Technology
11/6/2024,B04,Automotive Collision Repair Technology
11/6/2024,B32,Automotive Collision Repair Technology
11/6/2024,B3C,Automotive Collision Repair Technology
11/16/2024,S096,HVAC -R and Energy Systems
11/16/2024,S055,HVAC -R and Energy Systems
11/16/2024,S277,HVAC -R and Energy Systems
11/16/2024,S180,HVAC -R and Energy Systems
11/16/2024,S049,HVAC -R and Energy Systems
11/16/2024,S157,HVAC -R and Energy Systems
11/16/2024,S093,HVAC -R and Energy Systems
11/16/2024,S096,HVAC -R and Energy Systems
11/16/2024,S325,HVAC -R and Energy Systems
11/6/2024,B14,HVAC -R and Energy Systems
11/16/2024,S119,HVAC -R and Energy Systems
11/16/2024,S394,HVAC -R and Energy Systems
11/16/2024,S165,HVAC -R and Energy Systems
11/16/2024,S228,HVAC -R and Energy Systems
11/16/2024,S188,HVAC -R and Energy Systems
11/6/2024,C17,Media Communications and Broadcasting
11/6/2024,C2C,Media Communications and Broadcasting
11/6/2024,A38,Media Communications and Broadcasting
11/6/2024,B3C,Media Communications and Broadcasting
11/6/2024,B43,Media Communications and Broadcasting
11/6/2024,C3E,Media Communications and Broadcasting
11/6/2024,B42,Media Communications and Broadcasting
11/6/2024,B25,Media Communications and Broadcasting
11/6/2024,C27,Media Communications and Broadcasting
11/6/2024,C26,Cyber Security
11/6/2024,A24,Cyber Security
11/6/2024,B2F,Cyber Security
